unique_id,strategy,zone,land_size,last_crop,last_yield,last_cost,last_water,last_profit,mean_yield,mean_profit,goal,n_obs
0,SHARED,IRRIGATED_SOUSS,2.0019796134911236,tomatoes,26.097365828615413,10272.783782708604,450.0,101295.67634191012,30.091658918421974,125214.02764845328,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
1,INDIVIDUAL,IRRIGATED_SOUSS,2.0019796134911236,green_beans,8.848185817945355,10560.79226381395,450.0,73338.95729954836,7.639947635435359,60437.318986452585,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
2,SHARED,SEMI_ARID_WARM,3.008896643339405,grapes,7.60024170718905,5863.384362489765,450.0,171442.73685930605,7.052449328833656,158360.09727689726,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
3,INDIVIDUAL,SEMI_ARID_WARM,3.008896643339405,barley,1.2871584054509537,6285.59952539848,450.0,-3967.095542307997,1.072698526751658,-6457.260426015095,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
4,SHARED,IRRIGATED_SOUSS,7.666009702009083,tomatoes,25.74971155773299,10298.773811749872,450.0,381467.4150320281,28.592328758742717,441580.21722663374,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
5,INDIVIDUAL,IRRIGATED_SOUSS,7.666009702009083,avocados,4.754982512650794,5235.98834698252,450.0,455604.5547505829,5.545685370390076,538041.4413427475,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
6,SHARED,SAHARAN,4.797296377167434,watermelon,6.34894741832371,9151.591090889595,300.0,65575.16760379668,17.356407638900425,258183.69473130853,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",60
7,INDIVIDUAL,SAHARAN,4.797296377167434,date_palms,1.5103585919261648,7264.830461707938,300.0,157549.1213202656,2.2082990427969507,246457.94629456053,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
8,SHARED,SEMI_ARID_WARM,3.0939480405166564,grapes,7.371270756695079,5768.892932156461,450.0,170723.6494803166,6.889050870079063,158460.7525858577,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
9,INDIVIDUAL,SEMI_ARID_WARM,3.0939480405166564,olives,1.8629933845236446,6254.858776468349,450.0,35031.176586940106,1.8350167942501299,34214.50075628057,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
10,SHARED,SAHARAN,2.7895388561798367,watermelon,7.726167830594952,9020.808170795317,300.0,52304.64579036227,17.532770635986864,151191.40936962617,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",60
11,INDIVIDUAL,SAHARAN,2.7895388561798367,watermelon,10.772316664250209,13163.76964974845,300.0,43814.10858609987,18.884272310199986,104459.92948715154,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
12,SHARED,SAHARAN,4.775678388654929,watermelon,10.066791406339698,9575.65646667054,300.0,127074.2110088649,16.919268959337803,258520.16547526215,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",60
13,INDIVIDUAL,SAHARAN,4.775678388654929,cumin,0.27146355638173,7785.26998195463,300.0,1388.6279230445134,0.36033837537684094,14015.645106068974,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
14,SHARED,SEMI_ARID_COOL,8.28487411010044,almonds,0.46659515857285777,3989.6057883680032,450.0,59711.392827799085,0.48706184006510134,63780.417246914476,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
15,INDIVIDUAL,SEMI_ARID_COOL,8.28487411010044,almonds,0.47949339749141623,4890.389654859213,450.0,30562.45287554171,0.4703853549847549,29212.30297646072,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
16,SHARED,SEMI_ARID_WARM,7.283254554894041,grapes,7.295780977906369,6183.288928940196,450.0,394324.81465786434,7.325480686190065,395990.7775518975,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",60
17,INDIVIDUAL,SEMI_ARID_WARM,7.283254554894041,durum_wheat,1.5929745518340743,6986.903277384478,450.0,-8107.196123192128,1.396692178530274,-13378.466137994792,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
18,SHARED,SEMI_ARID_WARM,2.937823858968299,grapes,7.088761843051526,6000.209669491901,450.0,154566.70000716433,7.139537206796889,155800.09257076302,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",60
19,INDIVIDUAL,SEMI_ARID_WARM,2.937823858968299,olives,2.108069247766249,6049.938817969523,450.0,40658.58480488962,1.810793197589923,32418.577816003894,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
20,SHARED,SUB_HUMID,1.834712590421331,durum_wheat,1.512039404437995,4714.45460469848,450.0,5069.428497652637,1.2889662527379109,3683.808018958285,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
21,INDIVIDUAL,SUB_HUMID,1.834712590421331,durum_wheat,1.6360335853106092,4389.703635357091,450.0,3014.1447430817175,1.375151811416651,1249.2441319900618,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
22,SHARED,SEMI_ARID_COOL,6.43353428230202,durum_wheat,1.1556904470442098,4328.4638739394195,450.0,8921.994510866403,1.2119765729839473,12607.719788844892,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
23,INDIVIDUAL,SEMI_ARID_COOL,6.43353428230202,durum_wheat,1.4632496881042087,6268.119015682877,450.0,-5614.406665902391,1.304967613551767,-9369.23275461645,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
24,SHARED,IRRIGATED_SOUSS,5.134823917046583,tomatoes,29.119605596225004,11875.295223988443,450.0,287778.31887738593,28.851396640866497,298201.3088312751,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",60
25,INDIVIDUAL,IRRIGATED_SOUSS,5.134823917046583,citrus,13.666640293025043,6210.756722165903,450.0,277391.1146741304,12.033955679055019,240442.72272994358,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
26,SHARED,ARID,1.7092017827061237,almonds,0.4150447564422501,5294.573116522699,450.0,7973.863707592791,0.4926025326521975,11154.951366583058,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
27,INDIVIDUAL,ARID,1.7092017827061237,almonds,0.5155465339641816,6683.222988509101,450.0,4343.412238965607,0.49076482123563897,3585.540554495378,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
28,SHARED,IRRIGATED_SOUSS,6.566677771278215,tomatoes,25.853477613216434,11731.851865982271,450.0,318942.4457245697,29.334009326827378,372251.59866822057,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
